variant	best_m	best_mean_acc	std
lower_strip_edges	0.4	0.8120	0.0252
lower_split_punct	0.4	0.8120	0.0232
lower	2.0	0.7870	0.0443
lower_negation_bigram	1.0	0.7800	0.0332
baseline_verbatim	0.2	0.7620	0.0214
